date,tool,version,task,files_or_outputs,human_instruction,verification,accepted_or_rejected,notes
"August 2026; exact day requires human confirmation","OpenAI Codex","GPT-5-family; exact deployed snapshot not exposed","Scientific reasoning and protocol design","paper/protocol/PEVL_PROSPECTIVE_PROTOCOL.md; paper/final_protocol/METHOD_ASSUMPTION_AUDIT.md; protocol-stage definitions in main.tex","Keep the scientific topic fixed; distinguish schedule matching, within-arm repeatability, cross-arm event alignment, and claim admission; fail closed","Compared protocol wording with retained evidence, schemas, analysis units, and the frozen admission map","Accepted with bounded wording; final human approval pending","AI did not independently authorize claims or experiments"
"August 2026; exact day requires human confirmation","OpenAI Codex","GPT-5-family; exact deployed snapshot not exposed","Literature search, bibliographic verification, and synthesis","paper/final_protocol/REFERENCE_AUDIT.csv; paper/final_protocol/references.bib; related-work text and table","Verify title, authors, venue, year, pages/article, DOI, publication status, and sentence support from primary sources; do not invent unresolved citations","Publisher, proceedings, arXiv, OpenReview, and DOI records were cross-checked; unsupported Silent Unpairing record was marked unverified and excluded from the manuscript","Accepted for 24 verified records; one requested record rejected as evidentiary support","Human author must recheck the final cited set and approve the contribution boundary"
"August 2026; exact day requires human confirmation","OpenAI Codex","GPT-5-family; exact deployed snapshot not exposed","Code generation and debugging","paper/scripts; paper/final_protocol/scripts; paper/final_protocol/tests; synthetic and release tooling","Build strict, hash-pinned analyzers, generators, tests, and release checks without overwriting raw rows or running new outcome-driven policy experiments","Targeted tests, source-hash checks, schema checks, row reaggregation, mutation checks, and reproduction workflow as applicable","Accepted only where checks pass; final clean reproduction pending","Generated code is not evidence until exercised and reviewed"
"August 2026; historical acquisition dates require human confirmation","OpenAI Codex","GPT-5-family; exact deployed snapshot not exposed","Simulation and validation-workflow orchestration","prospectively frozen deterministic preflight, timed-search stress, and factorial result artifacts under paper/data/pevl","Execute only the frozen validation protocol; do not start a new policy search or outcome-driven experiment","Protocol commit and artifact ordering, frozen hashes, schedule/schema/sample-size checks, analyzer admission status, and independent reaggregation","Previously accepted under the frozen workflow; human confirmation of the complete historical activity record pending","No new policy experiment was authorized during final Protocol Article assembly; repository ordering cannot prove when a human viewed uncommitted files"
"2026-08-24","OpenAI Codex","GPT-5-family; exact deployed snapshot not exposed","Statistical analysis and independent verification","paper/final_protocol/source_data/statistics_verification.json; paper/final_protocol/results_macros.tex; tables; claim ledger inputs","Recompute historical mismatch counts, prospective diagnostics, factorial rates and contrasts, bootstrap intervals, and McNemar result from authoritative evidence; fail on drift","Independent reaggregation, frozen draw/seed checks, exact row/schema/count checks, equation tests, and comparison with analyzer summaries","Accepted where verifier reports PASS; final one-command reproduction pending","Intervals are bounded fixed-battery resampling summaries, not population confidence or equivalence claims"
"2026-08-24","OpenAI Codex","GPT-5-family; exact deployed snapshot not exposed","Equation drafting and verification","paper/final_protocol/main.tex equations; paper/final_protocol/EQUATION_AUDIT.md; paper/final_protocol/tests/test_equations.py; paper/final_protocol/source_data/equation_examples.json","Use only necessary equations; define symbols and units; supply ordinary-language explanations, toy examples, independent tests, and sign checks","Four targeted equation tests and a separate known-example recalculation; human sign and interpretation review remains pending","Machine-checked examples accepted; human verification pending","No standalone equation was added for semantic event alignment because a verbal criterion was sufficient"
"2026-08-24","OpenAI Codex","GPT-5-family; exact deployed snapshot not exposed","Deterministic visualization and table drafting","paper/final_protocol/figures; paper/final_protocol/tables; paper/final_protocol/source_data/figure_*","Generate all scientific figures and tables from validated data; use readable neutral labels; use no copyrighted game art or AI-generated decoration","Source-data exports, deterministic build hashes, caption/source checks, PDF rendering, and final page-image inspection as applicable","Accepted subject to final reproduction and visual audit","No generative-image system was used"
"2026-08-24","OpenAI Codex","GPT-5-family; exact deployed snapshot not exposed","Manuscript drafting and scientific editing","paper/final_protocol/main.tex; paper/final_protocol/cover_letter.md; paper/final_protocol/data_availability.md; handoff and audit documents","Write an APS Open Science Protocol Article; remove unsupported novelty and game-strength claims; use generated central numbers; state limitations directly","Claim-ledger sentence matching, contradiction audit, reference audit, source comparison, compilation, and rendered-page inspection as applicable","Accepted provisionally; final human manuscript approval pending","AI-generated prose carries no evidentiary status by itself"
"2026-08-24","OpenAI Codex","GPT-5-family; exact deployed snapshot not exposed","Release-package assembly and sanitization","paper/final_protocol/release; manifests; environment/dependency records; reproduction commands","Build a package that works without the restricted engine; include processed evidence and exclude restricted binaries, packages, assets, raw traces, credentials, and local paths","Allow-list and forbidden-pattern checks, cryptographic manifest verification, clean-copy command tests, and contradiction checks as applicable","Accepted only if the final release verifier passes; ownership and license remain blocked","No redistribution right or DOI was inferred"
"2026-08-24","OpenAI Codex","GPT-5-family; exact deployed snapshot not exposed","Adversarial and consistency auditing","paper/final_protocol/FINAL_RED_TEAM.json; paper/final_protocol/CONTRADICTION_AUDIT.json; paper/final_protocol/SUBMISSION_CHECKLIST.md","Run simulation-methods, software-testing, and APS general-reader reviews; report severity, evidence required, fix, and status; do not submit","Cross-file title/type/numerical/disclosure checks, independent reviewer passes, tests, reproduction report, and final rendered-page audit as applicable","Criticisms accepted only after technical verification; unresolved items remain blockers","Earlier red-team output was not reused as final because it referred to another manuscript state"
